stock_symbol,timestamp,sentiment_score
AAPL,2022-11-29 00:00:00,2.3159528
AAPL,2022-11-30 00:00:00,3.115246
AAPL,2022-12-01 00:00:00,2.5386202
AAPL,2022-12-02 00:00:00,2.7165673
AAPL,2022-12-03 00:00:00,3.0940504
AAPL,2022-12-04 00:00:00,3.2011507
AAPL,2022-12-05 00:00:00,2.7117906
AAPL,2022-12-06 00:00:00,2.7085886
AAPL,2022-12-07 00:00:00,1.8524016
AAPL,2022-12-08 00:00:00,2.7751443
AAPL,2022-12-09 00:00:00,2.991827
AAPL,2022-12-10 00:00:00,2.5742261
AAPL,2022-12-11 00:00:00,2.6380048
AAPL,2022-12-12 00:00:00,3.277649
AAPL,2022-12-13 00:00:00,3.3349082
AAPL,2022-12-14 00:00:00,2.465688
AAPL,2022-12-15 00:00:00,2.321998
AAPL,2022-12-16 00:00:00,3.0882523
AAPL,2022-12-17 00:00:00,3.489898
AAPL,2022-12-18 00:00:00,1.9053328
AAPL,2022-12-19 00:00:00,2.1157987
AAPL,2022-12-20 00:00:00,1.8788279
AAPL,2022-12-21 00:00:00,2.6882927
AAPL,2022-12-22 00:00:00,2.4533248
AAPL,2022-12-23 00:00:00,2.554735
AAPL,2022-12-24 00:00:00,2.866552
AAPL,2022-12-25 00:00:00,1.3055339
AAPL,2022-12-26 00:00:00,2.2581992
AAPL,2022-12-27 00:00:00,2.8088408
AAPL,2022-12-28 00:00:00,2.3284407
AAPL,2022-12-29 00:00:00,2.9074905
AAPL,2022-12-30 00:00:00,2.6028636
AAPL,2022-12-31 00:00:00,2.612192
AAPL,2023-01-01 00:00:00,3.9157343
AAPL,2023-01-02 00:00:00,2.2898035
AAPL,2023-01-03 00:00:00,2.2197473
AAPL,2023-01-04 00:00:00,2.204493
AAPL,2023-01-05 00:00:00,2.9444234
AAPL,2023-01-06 00:00:00,2.742037
AAPL,2023-01-07 00:00:00,2.5005474
AAPL,2023-01-08 00:00:00,3.5724907
AAPL,2023-01-09 00:00:00,2.9908984
AAPL,2023-01-10 00:00:00,2.8214114
AAPL,2023-01-11 00:00:00,2.9233532
AAPL,2023-01-12 00:00:00,2.885638
AAPL,2023-01-13 00:00:00,3.0718803
AAPL,2023-01-14 00:00:00,3.5001686
AAPL,2023-01-15 00:00:00,3.6575856
AAPL,2023-01-16 00:00:00,3.4804368
